ObjectClassRo,SubtypeRo,FieldRo,DatasetRo,SubtypeCodeRo,FieldAliasRo,Index,mmFSVisible,mmFSEditable,mmFSAllowNulls,mmFSAllowMassAttributeUpdate,DefaultValueRo
EDGIS.DuctDefinition,<None>,ELECTRICTRANSMISSIONIDC,Root,-1,Elec Transmission Indicator,15,TRUE,TRUE,TRUE,TRUE,0
EDGIS.DuctDefinition,<None>,MUNICABLEIDC,Root,-1,Muni Cable Indicator,16,TRUE,TRUE,TRUE,TRUE,0
EDGIS.DuctDefinition,<None>,TEMPERATUREIDC,Root,-1,Temp/PW Indicator,17,TRUE,TRUE,TRUE,TRUE,0
EDGIS.DuctDefinition,<None>,HYPERLINK,Root,-1,Hyperlink,18,TRUE,TRUE,TRUE,FALSE,
EDGIS.DuctDefinition,<None>,COMMENTS,Root,-1,Comments,19,TRUE,TRUE,TRUE,FALSE,
EDGIS.DuctDefinition,<None>,WORKREQUESTID,Root,-1,WorkRequestID,20,FALSE,FALSE,TRUE,FALSE,
EDGIS.DuctDefinition,<None>,DESIGNID,Root,-1,DesignID,21,FALSE,TRUE,TRUE,FALSE,
EDGIS.DuctDefinition,<None>,WORKLOCATIONID,Root,-1,WorkLocationID,22,FALSE,TRUE,TRUE,FALSE,
EDGIS.DuctDefinition,<None>,WORKFLOWSTATUS,Root,-1,WorkFlowStatus,23,FALSE,TRUE,TRUE,FALSE,
EDGIS.DuctDefinition,<None>,WORKFUNCTION,Root,-1,WorkFunction,24,FALSE,TRUE,TRUE,FALSE,
EDGIS.DuctDefinition,<None>,CONDUITSYSTEMOBJECTID,Root,-1,ConduitSystemObjectID,25,FALSE,TRUE,TRUE,FALSE,
EDGIS.DuctDefinition,<None>,GLOBALID,Root,-1,Global ID,26,FALSE,FALSE,FALSE,FALSE,
EDGIS.DuctDefinition,<None>,SFDTIDC,Root,-1,SF Dept. Technology Indicator,27,TRUE,TRUE,TRUE,TRUE,0
EDGIS.DuctDefinition,<None>,MISCIDC1,Root,-1,Parallel Conductor Indicator,28,FALSE,TRUE,TRUE,TRUE,0
EDGIS.DuctDefinition,<None>,MISCIDC2,Root,-1,Future 2 Indicator,29,FALSE,TRUE,TRUE,TRUE,0
EDGIS.DuctDefinition,<None>,MISCIDC3,Root,-1,Future 3 Indicator,30,FALSE,TRUE,TRUE,TRUE,0
EDGIS.DuctDefinition,Duct Bank,OBJECTID,Root,1,OBJECTID,n/a,FALSE,FALSE,FALSE,FALSE,
EDGIS.DuctDefinition,Duct Bank,SUBTYPECD,Root,1,Subtype,n/a,TRUE,FALSE,FALSE,FALSE,2
EDGIS.DuctDefinition,Duct Bank,DUCTID,Root,1,Duct ID,n/a,TRUE,TRUE,TRUE,FALSE,
EDGIS.DuctDefinition,Duct Bank,DUCTSIZE,Root,1,Draw Size,n/a,TRUE,TRUE,TRUE,FALSE,5
EDGIS.DuctDefinition,Duct Bank,ACTUALSIZE,Root,1,Actual Size,n/a,TRUE,TRUE,TRUE,FALSE,5
EDGIS.DuctDefinition,Duct Bank,DUCTSHAPE,Root,1,Duct Shape,n/a,TRUE,TRUE,TRUE,TRUE,
EDGIS.DuctDefinition,Duct Bank,MATERIAL,Root,1,Material,n/a,TRUE,TRUE,TRUE,FALSE,PVC
EDGIS.DuctDefinition,Duct Bank,BYPASS,Root,1,Bypass,n/a,TRUE,TRUE,TRUE,TRUE,
EDGIS.DuctDefinition,Duct Bank,AVAILABLE,Root,1,Availability Indicator,n/a,FALSE,TRUE,TRUE,FALSE,1
EDGIS.DuctDefinition,Duct Bank,CONDITION,Root,1,Condition,n/a,TRUE,TRUE,TRUE,TRUE,
EDGIS.DuctDefinition,Duct Bank,FIBEROPTICIDC,Root,1,Fiber Optic Indicator,n/a,TRUE,TRUE,TRUE,TRUE,
EDGIS.DuctDefinition,Duct Bank,VENTIDC,Root,1,Vent Indicator,n/a,TRUE,TRUE,TRUE,TRUE,
EDGIS.DuctDefinition,Duct Bank,TELCOIDC,Root,1,Telco Indicator,n/a,TRUE,TRUE,TRUE,TRUE,
EDGIS.DuctDefinition,Duct Bank,GASLINEIDC,Root,1,Gas Line Indicator,n/a,TRUE,TRUE,TRUE,TRUE,
EDGIS.DuctDefinition,Duct Bank,SCADAIDC,Root,1,SCADA Indicator,n/a,TRUE,TRUE,TRUE,TRUE,
EDGIS.DuctDefinition,Duct Bank,ELECTRICTRANSMISSIONIDC,Root,1,Elec Transmission Indicator,n/a,TRUE,TRUE,TRUE,TRUE,
EDGIS.DuctDefinition,Duct Bank,MUNICABLEIDC,Root,1,Muni Cable Indicator,n/a,TRUE,TRUE,TRUE,TRUE,
EDGIS.DuctDefinition,Duct Bank,TEMPERATUREIDC,Root,1,Temp/PW Indicator,n/a,TRUE,TRUE,TRUE,TRUE,
EDGIS.DuctDefinition,Duct Bank,HYPERLINK,Root,1,Hyperlink,n/a,TRUE,TRUE,TRUE,FALSE,
EDGIS.DuctDefinition,Duct Bank,COMMENTS,Root,1,Comments,n/a,TRUE,TRUE,TRUE,FALSE,
EDGIS.DuctDefinition,Duct Bank,WORKREQUESTID,Root,1,WorkRequestID,n/a,FALSE,FALSE,TRUE,FALSE,
EDGIS.DuctDefinition,Duct Bank,DESIGNID,Root,1,DesignID,n/a,FALSE,TRUE,TRUE,FALSE,
EDGIS.DuctDefinition,Duct Bank,WORKLOCATIONID,Root,1,WorkLocationID,n/a,FALSE,TRUE,TRUE,FALSE,
EDGIS.DuctDefinition,Duct Bank,WORKFLOWSTATUS,Root,1,WorkFlowStatus,n/a,FALSE,TRUE,TRUE,FALSE,
EDGIS.DuctDefinition,Duct Bank,WORKFUNCTION,Root,1,WorkFunction,n/a,FALSE,TRUE,TRUE,FALSE,
EDGIS.DuctDefinition,Duct Bank,CONDUITSYSTEMOBJECTID,Root,1,ConduitSystemObjectID,n/a,FALSE,TRUE,TRUE,FALSE,
EDGIS.DuctDefinition,Duct Bank,GLOBALID,Root,1,Global ID,n/a,FALSE,FALSE,FALSE,FALSE,
EDGIS.DuctDefinition,Duct Bank,SFDTIDC,Root,1,SF Dept. Technology Indicator,n/a,TRUE,TRUE,TRUE,TRUE,
EDGIS.DuctDefinition,Duct Bank,MISCIDC1,Root,1,Parallel Conductor Indicator,n/a,FALSE,TRUE,TRUE,TRUE,
EDGIS.DuctDefinition,Duct Bank,MISCIDC2,Root,1,Future 2 Indicator,n/a,FALSE,TRUE,TRUE,TRUE,
EDGIS.DuctDefinition,Duct Bank,MISCIDC3,Root,1,Future 3 Indicator,n/a,FALSE,TRUE,TRUE,TRUE,
EDGIS.DuctDefinition,Conduit,OBJECTID,Root,2,OBJECTID,n/a,FALSE,FALSE,FALSE,FALSE,
EDGIS.DuctDefinition,Conduit,SUBTYPECD,Root,2,Subtype,n/a,TRUE,FALSE,FALSE,FALSE,2
EDGIS.DuctDefinition,Conduit,DUCTID,Root,2,Duct ID,n/a,TRUE,TRUE,TRUE,FALSE,
EDGIS.DuctDefinition,Conduit,DUCTSIZE,Root,2,Draw Size,n/a,TRUE,TRUE,TRUE,FALSE,5
EDGIS.DuctDefinition,Conduit,ACTUALSIZE,Root,2,Actual Size,n/a,TRUE,TRUE,TRUE,FALSE,5
EDGIS.DuctDefinition,Conduit,DUCTSHAPE,Root,2,Duct Shape,n/a,TRUE,TRUE,TRUE,TRUE,
EDGIS.DuctDefinition,Conduit,MATERIAL,Root,2,Material,n/a,TRUE,TRUE,TRUE,FALSE,
EDGIS.DuctDefinition,Conduit,BYPASS,Root,2,Bypass,n/a,TRUE,TRUE,TRUE,TRUE,
EDGIS.DuctDefinition,Conduit,AVAILABLE,Root,2,Availability Indicator,n/a,FALSE,TRUE,TRUE,FALSE,1
EDGIS.DuctDefinition,Conduit,CONDITION,Root,2,Condition,n/a,TRUE,TRUE,TRUE,TRUE,
EDGIS.DuctDefinition,Conduit,FIBEROPTICIDC,Root,2,Fiber Optic Indicator,n/a,TRUE,TRUE,TRUE,TRUE,
EDGIS.DuctDefinition,Conduit,VENTIDC,Root,2,Vent Indicator,n/a,TRUE,TRUE,TRUE,TRUE,
EDGIS.DuctDefinition,Conduit,TELCOIDC,Root,2,Telco Indicator,n/a,TRUE,TRUE,TRUE,TRUE,
EDGIS.DuctDefinition,Conduit,GASLINEIDC,Root,2,Gas Line Indicator,n/a,TRUE,TRUE,TRUE,TRUE,
EDGIS.DuctDefinition,Conduit,SCADAIDC,Root,2,SCADA Indicator,n/a,TRUE,TRUE,TRUE,TRUE,
EDGIS.DuctDefinition,Conduit,ELECTRICTRANSMISSIONIDC,Root,2,Elec Transmission Indicator,n/a,TRUE,TRUE,TRUE,TRUE,
EDGIS.DuctDefinition,Conduit,MUNICABLEIDC,Root,2,Muni Cable Indicator,n/a,TRUE,TRUE,TRUE,TRUE,
EDGIS.DuctDefinition,Conduit,TEMPERATUREIDC,Root,2,Temp/PW Indicator,n/a,TRUE,TRUE,TRUE,TRUE,
EDGIS.DuctDefinition,Conduit,HYPERLINK,Root,2,Hyperlink,n/a,TRUE,TRUE,TRUE,FALSE,
EDGIS.DuctDefinition,Conduit,COMMENTS,Root,2,Comments,n/a,TRUE,TRUE,TRUE,FALSE,
EDGIS.DuctDefinition,Conduit,WORKREQUESTID,Root,2,WorkRequestID,n/a,FALSE,FALSE,TRUE,FALSE,
EDGIS.DuctDefinition,Conduit,DESIGNID,Root,2,DesignID,n/a,FALSE,TRUE,TRUE,FALSE,
EDGIS.DuctDefinition,Conduit,WORKLOCATIONID,Root,2,WorkLocationID,n/a,FALSE,TRUE,TRUE,FALSE,
EDGIS.DuctDefinition,Conduit,WORKFLOWSTATUS,Root,2,WorkFlowStatus,n/a,FALSE,TRUE,TRUE,FALSE,
EDGIS.DuctDefinition,Conduit,WORKFUNCTION,Root,2,WorkFunction,n/a,FALSE,TRUE,TRUE,FALSE,
EDGIS.DuctDefinition,Conduit,CONDUITSYSTEMOBJECTID,Root,2,ConduitSystemObjectID,n/a,FALSE,TRUE,TRUE,FALSE,
EDGIS.DuctDefinition,Conduit,GLOBALID,Root,2,Global ID,n/a,FALSE,FALSE,FALSE,FALSE,
EDGIS.DuctDefinition,Conduit,SFDTIDC,Root,2,SF Dept. Technology Indicator,n/a,TRUE,TRUE,TRUE,TRUE,
EDGIS.DuctDefinition,Conduit,MISCIDC1,Root,2,Parallel Conductor Indicator,n/a,FALSE,TRUE,TRUE,TRUE,
EDGIS.DuctDefinition,Conduit,MISCIDC2,Root,2,Future 2 Indicator,n/a,FALSE,TRUE,TRUE,TRUE,
EDGIS.DuctDefinition,Conduit,MISCIDC3,Root,2,Future 3 Indicator,n/a,FALSE,TRUE,TRUE,TRUE,
EDGIS.PriOHConductorInfo,<None>,OBJECTID,Root,-1,Object ID,0,TRUE,FALSE,FALSE,FALSE,
EDGIS.PriOHConductorInfo,<None>,SUBTYPECD,Root,-1,Subtype,1,TRUE,TRUE,TRUE,FALSE,1
EDGIS.PriOHConductorInfo,<None>,INSTALLATIONDATE,Root,-1,Installation Date,2,TRUE,TRUE,TRUE,TRUE,
EDGIS.PriOHConductorInfo,<None>,GLOBALID,Root,-1,Global ID,3,FALSE,FALSE,FALSE,FALSE,
EDGIS.PriOHConductorInfo,<None>,CONDUCTORUSE,Root,-1,Conductor Use,4,TRUE,TRUE,FALSE,FALSE,
EDGIS.PriOHConductorInfo,<None>,PHASEDESIGNATION,Root,-1,Phase Designation,5,TRUE,TRUE,FALSE,TRUE,
EDGIS.PriOHConductorInfo,<None>,CONDUCTORCOUNT,Root,-1,Conductor Count,6,TRUE,TRUE,TRUE,TRUE,
EDGIS.PriOHConductorInfo,<None>,PGE_CONDUCTORCODE,Root,-1,PG&E Conductor Code,7,TRUE,TRUE,FALSE,TRUE,
EDGIS.PriOHConductorInfo,<None>,MATERIAL,Root,-1,Material,8,FALSE,FALSE,TRUE,FALSE,
EDGIS.PriOHConductorInfo,<None>,INSULATION,Root,-1,Insulation,9,FALSE,TRUE,TRUE,FALSE,
EDGIS.PriOHConductorInfo,<None>,CONDUCTORTYPE,Root,-1,Conductor Type,10,TRUE,FALSE,TRUE,FALSE,
EDGIS.PriOHConductorInfo,<None>,CONDUCTORSIZE,Root,-1,Conductor Size,11,FALSE,FALSE,TRUE,FALSE,
EDGIS.PriOHConductorInfo,<None>,CREATIONUSER,Root,-1,Creation User,12,TRUE,FALSE,TRUE,FALSE,
EDGIS.PriOHConductorInfo,<None>,DATECREATED,Root,-1,Date Created,13,TRUE,FALSE,TRUE,FALSE,
EDGIS.PriOHConductorInfo,<None>,LASTUSER,Root,-1,Last User,14,TRUE,FALSE,TRUE,FALSE,
EDGIS.PriOHConductorInfo,<None>,DATEMODIFIED,Root,-1,Date Modified,15,TRUE,FALSE,TRUE,FALSE,
EDGIS.PriOHConductorInfo,<None>,CONDUCTORCONVID,Root,-1,Conductor ConvID,16,FALSE,TRUE,TRUE,FALSE,
EDGIS.PriOHConductorInfo,<None>,CONVERSIONID,Root,-1,ConversionID,17,FALSE,TRUE,TRUE,FALSE,
EDGIS.PriOHConductorInfo,<None>,CONVERSIONWORKPACKAGE,Root,-1,Conversion Work Package,18,FALSE,TRUE,TRUE,FALSE,
EDGIS.PriOHConductorInfo,<None>,CONDUCTORGUID,Root,-1,Conductor GUID,19,FALSE,FALSE,TRUE,FALSE,
EDGIS.PriOHConductorInfo,Primary Overhead Conductor Info,OBJECTID,Root,1,Object ID,n/a,TRUE,FALSE,FALSE,FALSE,
EDGIS.PriOHConductorInfo,Primary Overhead Conductor Info,PGE_CONDUCTORCODE,Root,1,PG&E Conductor Code,n/a,TRUE,TRUE,FALSE,TRUE,
EDGIS.PriOHConductorInfo,Primary Overhead Conductor Info,CONDUCTORUSE,Root,1,Conductor Use,n/a,TRUE,TRUE,FALSE,FALSE,
EDGIS.PriOHConductorInfo,Primary Overhead Conductor Info,INSTALLATIONDATE,Root,1,Installation Date,n/a,TRUE,TRUE,TRUE,TRUE,
EDGIS.PriOHConductorInfo,Primary Overhead Conductor Info,CONDUCTORTYPE,Root,1,Conductor Type,n/a,TRUE,FALSE,TRUE,FALSE,
EDGIS.PriOHConductorInfo,Primary Overhead Conductor Info,CONDUCTORCOUNT,Root,1,Conductor Count,n/a,TRUE,TRUE,TRUE,TRUE,
EDGIS.PriOHConductorInfo,Primary Overhead Conductor Info,PHASEDESIGNATION,Root,1,Phase Designation,n/a,TRUE,TRUE,FALSE,TRUE,
EDGIS.PriOHConductorInfo,Primary Overhead Conductor Info,CREATIONUSER,Root,1,Creation User,n/a,TRUE,FALSE,TRUE,FALSE,
EDGIS.PriOHConductorInfo,Primary Overhead Conductor Info,DATECREATED,Root,1,Date Created,n/a,TRUE,FALSE,TRUE,FALSE,
EDGIS.PriOHConductorInfo,Primary Overhead Conductor Info,LASTUSER,Root,1,Last User,n/a,TRUE,FALSE,TRUE,FALSE,
EDGIS.PriOHConductorInfo,Primary Overhead Conductor Info,DATEMODIFIED,Root,1,Date Modified,n/a,TRUE,FALSE,TRUE,FALSE,
EDGIS.PriOHConductorInfo,Primary Overhead Conductor Info,SUBTYPECD,Root,1,Subtype,n/a,TRUE,TRUE,TRUE,FALSE,1
EDGIS.PriOHConductorInfo,Primary Overhead Conductor Info,INSULATION,Root,1,Insulation,n/a,FALSE,TRUE,TRUE,FALSE,
EDGIS.PriOHConductorInfo,Primary Overhead Conductor Info,CONDUCTORSIZE,Root,1,Conductor Size,n/a,FALSE,FALSE,TRUE,FALSE,
EDGIS.PriOHConductorInfo,Primary Overhead Conductor Info,MATERIAL,Root,1,Material,n/a,FALSE,FALSE,TRUE,FALSE,
EDGIS.PriOHConductorInfo,Primary Overhead Conductor Info,CONDUCTORCONVID,Root,1,Conductor ConvID,n/a,FALSE,TRUE,TRUE,FALSE,
EDGIS.PriOHConductorInfo,Primary Overhead Conductor Info,CONVERSIONID,Root,1,ConversionID,n/a,FALSE,TRUE,TRUE,FALSE,
EDGIS.PriOHConductorInfo,Primary Overhead Conductor Info,CONVERSIONWORKPACKAGE,Root,1,Conversion Work Package,n/a,FALSE,TRUE,TRUE,FALSE,
EDGIS.PriOHConductorInfo,Primary Overhead Conductor Info,CONDUCTORGUID,Root,1,Conductor GUID,n/a,FALSE,FALSE,TRUE,FALSE,
EDGIS.PriOHConductorInfo,Primary Overhead Conductor Info,GLOBALID,Root,1,Global ID,n/a,FALSE,FALSE,FALSE,FALSE,
EDGIS.JointOwner,<None>,OBJECTID,Root,-1,Object ID,0,TRUE,FALSE,FALSE,FALSE,
EDGIS.JointOwner,<None>,JONAME,Root,-1,Joint Owner Name,1,TRUE,TRUE,FALSE,FALSE,
EDGIS.JointOwner,<None>,GLOBALID,Root,-1,Global ID,2,FALSE,FALSE,FALSE,FALSE,
EDGIS.JointOwner,<None>,STRUCTUREGUID,Root,-1,Structure GUID,3,TRUE,FALSE,TRUE,FALSE,
EDGIS.JointOwner,<None>,OWNERGRADE,Root,-1,Owner Grade,4,FALSE,TRUE,TRUE,FALSE,
EDGIS.JointOwner,<None>,OWNERSPACE,Root,-1,Owner Space,5,FALSE,TRUE,TRUE,FALSE,
EDGIS.JointOwner,<None>,SPACETYPE,Root,-1,Space Type,6,FALSE,TRUE,TRUE,FALSE,
EDGIS.JointOwner,<None>,FREEATTACHMENTIDC,Root,-1,Free Attachment Idc,7,TRUE,TRUE,TRUE,FALSE,
EDGIS.JointOwner,<None>,ANCHORGUID,Root,-1,Anchor GUID,8,FALSE,FALSE,TRUE,FALSE,
EDGIS.JointOwner,<None>,ANCHORCONVID,Root,-1,Anchor ConvID,9,FALSE,TRUE,TRUE,FALSE,
EDGIS.JointOwner,<None>,CREATIONUSER,Root,-1,Creation User,10,TRUE,FALSE,TRUE,FALSE,
EDGIS.JointOwner,<None>,DATECREATED,Root,-1,Date Created,11,TRUE,FALSE,TRUE,FALSE,
EDGIS.JointOwner,<None>,LASTUSER,Root,-1,Last User,12,TRUE,FALSE,TRUE,FALSE,
EDGIS.JointOwner,<None>,DATEMODIFIED,Root,-1,Date Modified,13,TRUE,FALSE,TRUE,FALSE,
EDGIS.JointOwner,<None>,STRUCTUREUNITCONVID,Root,-1,Structure Unit ConvID,14,FALSE,TRUE,TRUE,FALSE,
EDGIS.JointOwner,<None>,CONVERSIONID,Root,-1,Conversion ID,15,FALSE,TRUE,TRUE,FALSE,
EDGIS.JointOwner,<None>,CONVERSIONWORKPACKAGE,Root,-1,Conversion Work Package,16,FALSE,TRUE,TRUE,FALSE,
EDGIS.Framing,<None>,OBJECTID,Root,-1,Object ID,0,TRUE,FALSE,FALSE,FALSE,
EDGIS.Framing,<None>,FRAMINGTYPE,Root,-1,Framing Type,1,TRUE,TRUE,TRUE,FALSE,
EDGIS.Framing,<None>,FRAMINGPOSITION,Root,-1,Framing Position,2,TRUE,TRUE,TRUE,FALSE,1
EDGIS.Framing,<None>,SPACING,Root,-1,Spacing,3,TRUE,TRUE,TRUE,FALSE,
EDGIS.Framing,<None>,CREATIONUSER,Root,-1,Creation User,4,TRUE,FALSE,TRUE,FALSE,
EDGIS.Framing,<None>,DATECREATED,Root,-1,Date Created,5,TRUE,FALSE,TRUE,FALSE,
EDGIS.Framing,<None>,LASTUSER,Root,-1,Last User,6,TRUE,FALSE,TRUE,FALSE,
EDGIS.Framing,<None>,DATEMODIFIED,Root,-1,Date Modified,7,TRUE,FALSE,TRUE,FALSE,
EDGIS.Framing,<None>,STRUCTUREGUID,Root,-1,Structure GUID,8,FALSE,TRUE,TRUE,FALSE,
EDGIS.Framing,<None>,STRUCTURECONVID,Root,-1,Structure ConvID,9,FALSE,TRUE,TRUE,FALSE,
EDGIS.Framing,<None>,CONVERSIONID,Root,-1,Conversion ID,10,FALSE,TRUE,TRUE,FALSE,
EDGIS.Framing,<None>,CONVERSIONWORKPACKAGE,Root,-1,Conversion Work Package,11,FALSE,TRUE,TRUE,FALSE,
EDGIS.Framing,<None>,GLOBALID,Root,-1,Global ID,12,FALSE,FALSE,FALSE,FALSE,
EDGIS.CircuitLoadSummary,<None>,OBJECTID,Root,-1,Object ID,0,TRUE,FALSE,FALSE,FALSE,
EDGIS.CircuitLoadSummary,<None>,SUMMARYYEAR,Root,-1,Summary Year,1,TRUE,TRUE,TRUE,FALSE,
EDGIS.CircuitLoadSummary,<None>,SEASON,Root,-1,Season,2,TRUE,TRUE,TRUE,FALSE,
EDGIS.CircuitLoadSummary,<None>,PEAKTIME,Root,-1,Peak Time,3,TRUE,TRUE,TRUE,FALSE,
EDGIS.CircuitLoadSummary,<None>,TOTALKW,Root,-1,Total KW,4,TRUE,TRUE,TRUE,FALSE,
EDGIS.CircuitLoadSummary,<None>,CIRCUITBASEPOWERFACTOR,Root,-1,Circuit Base Power Factor,5,TRUE,TRUE,TRUE,FALSE,
EDGIS.CircuitLoadSummary,<None>,MAXNORMALVOLTAGE,Root,-1,Max Normal Voltage,6,TRUE,TRUE,TRUE,FALSE,
EDGIS.CircuitLoadSummary,<None>,KVACAPABILITY,Root,-1,KVA Capability,7,TRUE,TRUE,TRUE,FALSE,
EDGIS.CircuitLoadSummary,<None>,PROJECTEDKW,Root,-1,Projected KW,8,TRUE,TRUE,TRUE,FALSE,
EDGIS.CircuitLoadSummary,<None>,LIMITDESC,Root,-1,Limit Description,9,TRUE,TRUE,TRUE,FALSE,
EDGIS.CircuitLoadSummary,<None>,ENERGYKVAR,Root,-1,Energy KVAR,10,TRUE,TRUE,TRUE,FALSE,
EDGIS.CircuitLoadSummary,<None>,COMKW,Root,-1,Com KW,11,TRUE,TRUE,TRUE,FALSE,
EDGIS.CircuitLoadSummary,<None>,CREATIONUSER,Root,-1,Creation User,12,TRUE,FALSE,TRUE,FALSE,
EDGIS.CircuitLoadSummary,<None>,DATECREATED,Root,-1,Date Created,13,TRUE,FALSE,TRUE,FALSE,
EDGIS.CircuitLoadSummary,<None>,LASTUSER,Root,-1,Date Modified,14,TRUE,FALSE,TRUE,FALSE,
EDGIS.CircuitLoadSummary,<None>,DATEMODIFIED,Root,-1,Last User,15,TRUE,FALSE,TRUE,FALSE,
EDGIS.CircuitLoadSummary,<None>,CEDSACIRCUITID,Root,-1,CEDSA Circuit ID,16,FALSE,TRUE,TRUE,FALSE,
EDGIS.CircuitLoadSummary,<None>,CIRCUITSOURCEGUID,Root,-1,Circuit Source GUID,17,FALSE,TRUE,TRUE,FALSE,
EDGIS.CircuitLoadSummary,<None>,CONVERSIONID,Root,-1,Conversion ID,18,FALSE,TRUE,TRUE,FALSE,
EDGIS.CircuitLoadSummary,<None>,CONVERSIONWORKPACKAGE,Root,-1,Conversion Work Package,19,FALSE,TRUE,TRUE,FALSE,
EDGIS.CircuitLoadSummary,<None>,CIRCUITSOURCECONVID,Root,-1,Circuit Source ConvID,20,FALSE,TRUE,TRUE,FALSE,
EDGIS.CircuitLoadSummary,<None>,GLOBALID,Root,-1,Global ID,21,FALSE,FALSE,FALSE,FALSE,
EDGIS.DCConductorInfo,<None>,OBJECTID,Root,-1,Object ID,0,TRUE,FALSE,FALSE,FALSE,
EDGIS.DCConductorInfo,<None>,INSTALLATIONDATE,Root,-1,Installation Date,1,TRUE,TRUE,TRUE,TRUE,
EDGIS.DCConductorInfo,<None>,CONDUCTORTYPE,Root,-1,Conductor Type,2,TRUE,TRUE,TRUE,FALSE,
EDGIS.DCConductorInfo,<None>,CONDUCTORSIZE,Root,-1,Conductor Size,3,TRUE,TRUE,TRUE,FALSE,
