WORDSPACING,WordSpacing
COMMENTS,Comments
SECTIONALIZERCUTOUT,Sect. Feature Cut Out
INSTALLATIONDATE,Installation Date
DEVICEGROUPTYPE,Facililty Type
DIFFMAP,DIFF Map
OPERATINGSCHEDULE,Operating Schedule
LIGHT,Light
SMARTMETERNETWORKDEVICEOID,Smart Meter Network Device ID
MAXVOLTAGELEVEL,Maximum Voltage Level
LITESIZETYPE,Lite Size Type
NEWGRIDMAPNUM,New Grid Map #
UGASTATUSVERIFIEDDATE,UGA Status Veified Date
FLIPFLOP,Flip Flop
SPACING,Spacing
NPKVA,Nameplate KVA
FAPPLIANCE4,FAPPLIANCE4
FAPPLIANCE5,FAPPLIANCE5
FAPPLIANCE2,FAPPLIANCE2
FAPPLIANCE3,FAPPLIANCE3
OWNERSHIP,Ownership
FIBATTERYDATE,FI Battery Date
CHANGEOFPARTYDATE,Change Of Party Date
MSCODE,MS Code
ELEVATION,Elevation
FUNCTIONALLOCATIONID,Functional Location ID
TOTALCUSTOMERSOUT,Total Customers Out
MAILADDR1,Mail Address 1
MAILADDR2,Mail Address 2
CREATIONUSER,Creation User
OFFICE,Office
LADDER,Ladder
OPERATINGNUMBER,Operating Number
NOMINALVOLTAGE,Nominal Voltage
CONVTRANSFORMERID,Conversion Tranformer ID
LOCKOUTNUM,Operations To Lock Out
ACCESSINFO,Access Info
SUBMERSIBLEIDC,Submersible Indicator
JPANUMBER,JPA Number
PLATFORMMOUNTEDIDC,Platform Mounted Indicator
GENERATIONID,Generation ID
MAPNUMBER,Map Number
METERTYPE,Meter Type
MAPOFFICE,Map Office
YOFFSET,YOffset
ELECTRICSTITCHPOINTGUID,Electric Stitch Point GUID
VERTICALALIGNMENT,VerticalAlignment
DEVICEGROUPNAME,Device Group Name
UNDERLINE,Underline
TECHIDENTNO,TECH Identification Number
EXISTINGREINFORCEMENT,Existing Reinforcement
TOTCODE,Town and Territory
SERIESSLIDC,Series Streetlight Indicator
STATE,State
AREASERVED,Area Served
PCMINTOCT,PCMin To CT
GEMSDISTMAPNUM,GEMS Distribution Map #
FEATURECONVERSIONID,FeatureConversionId
NAME,Name
GEMSOTHERMAPNUM,GEMS Other Map #
POLECHANGEDATE,Pole Change Date
STREETLIGHTTRANSACTION,Streetlight Transaction
CONDUCTORGUID,Conductor GUID
LOCATIONID,Location ID
LABELTEXT2,Label Text 2
LOB,Line Of Business
RISERMATERIAL,Riser Material
LUMENOUTPUT,Lumen Output
FEEDERINFO,Feeder Information
MAILCITY,Mail City
NAMEOFGENERATOR,Generator Name
ZHPCTIMP,ZH % Imp
FONTLEADING,FontLeading
BOOSTPERCENT,Boost Percent
JPNUMBER,Joint Pole Number
REPLACEGUID,Replace GUID
TOTALKVAR,Total KVAR
DEVICEGROUPGUID,Device Group GUID
FILLTYPE,Fill Type
OUTAGEDATE,Outage Date
HYPERLINK,Hyperlink
CONVCIRCUITID,Conversion Circuit ID
FOUNDATIONTYPE,Foundation Type
NORMALPOSITION,Normal Position
COUNTY,County 
HISTGEMSBADGENUM,Hist GEMS Badge #
LENSTYPE,Lens Type
CONVERSIONID,Conversion ID
CEDSASTRUCTUREID,CEDSA Structure ID
TOWNTERRDESC,Town Territory Description
MATERIALCODE,Material Code
POLELENGTH,Pole Height
NEUTRALMATERIAL,Neutral Material
RELAYCONTROLGUID,Relay Control GUID
CHARACTERWIDTH,CharacterWidth
SHAPE.LEN,SHAPE.LEN
POLECOUNT,Pole Count
FIELDINVESTIGATIONCODE,Field Investigation Code
PHASINGVERIFIEDSTATUS,Verified Phasing Status
CTRATIO,CT Ratio
JOINTOWNED,Joint Owned
GENERATORTYPE,Generator Type
NEUTRALIDC,Neutral Indicator
MAPNUMBERNEW,New Map #
SPLICESIZE,Splice Size
GEMSDISTRMAPNUM,GEMS Distribution Map #
JOBPREFIX,JOBPREFIX
STRUCTURECONVID,Structure ConvID
SUBSTATIONID,Substation ID
METER,Meter
MHCOVERSIZE,Manhole Cover Size
SWITCHMODEIDC,Switch Mode Indicator
TNUM,T-Number
BOLD,Bold
SERVICEIDC,Service Indicator
CTRATING,CT Rating
RETIREDATE,Retire Date
LONGITUDE,Longitude
STRUCTURECODE,Structure Code
ZLPCTIMP,ZL % Imp
JOINTTRENCHIDC,Joint Trench Indicator
TOTALCUSTOMERS,Total Customers
NUMBEROFSTEPS,Number Of Steps
AUTOTRANSFERIDC,Auto Transfer Indicator
CHARACTERSPACING,CharacterSpacing
STATUSFLAG,Status Flag
LIGHTNINGARRESTORIDC,Lightning Arrestors
NUMBERFUSESPERPHASE,Number of Fuses per Phase
DIFFBADGE,DIFF Badge
LOADSOURCEGUID,Load Source GUID
DUCTSIZE,Duct Size
FAULTLOCATION,Fault Location
SOILCONDITION,Soil Code
SUPERVISORYCONTROL,Supervisory Control
STRTCHDT,STRTCHDT
RISERUSAGE,Riser Usage
LOCALOFFICEID,Local Office ID
SECONDARYVOLTAGE,Secondary Voltage
JOINTUSEIDC,Joint Use Indicator
MAXCONTINUOUSCURRENT,Maximum Continuous Current
REMOVEDATE,Remove Date
CAPITALIZEDIDC,Capitalized Indicator
SWITCHTYPE,Switch Type
ANNOTATIONCLASSID,AnnotationClassID
UNITCOUNT,Unit Count
SPOTIDC,Spot IDC
MAINLINEIDC,Mainline Indicator
GPSSOURCE,GPS Source
STRUCTURESIZE,Structure Size
DIRECTBURYIDC,Direct Buried Indicator
INSTALLJOBNUMBER,Job Number
ORIGINALYCOORD,Original Y Coordinate
NUMBEROFPHASES,Number Of Phases
FLIPANGLE,FlipAngle
ATTACHMENTTYPE,Attachment Type
DISTRIBUTEDGENERATIONIDC,Distributed Generation Indicator
HIGHSIDEPROTECTION,High Side Protection
POLENUMBER,Pole Number
MHCOVERTYPE,Manhole Cover Type
GUYTYPE,Guy Type
ENABLED,Enabled
LOWSIDEVOLTAGE,Low Side Voltage
STATIONTYPE,Station Type
DIFFADDR,DIFF Address
UNIQUESPID,Unique SPID
CIRCUITID,Circuit ID
BUCKETTRUCKIDC,Bucket Truck
SHAPE,SHAPE
GAUGE,Gauge
ENCASEMENTTYPE,Encasement Type
STEPUPIDC,Step Up Indicator
BANKCODE,Bank Code
BASICCAUSE,Basic Cause
POLEUSE,Pole Use
IMAGEPATH,Image Path
LAMPCHANGEDATE,Lamp Change Date
CEDSAID,CEDSA ID
VAULT,Vault
DUCTCOUNT,# of Ducts
SOURCEACCURACY,Source Accuracy
INCONDUITIDC,In Conduit Indicator
LUMNCHANGEDATE,Luminaire Change Date
STREETLIGHTSGISSPID,Streetlight GIS SPID
CABLECOUNT,Cable Count
SERVICEPOINTID,Service Point ID
LITETYPETYPE,Lite Type Type
DESCRIPTIVEADDRESS,Descriptive Address
RECORDSTATUS,Record Status
ORIGINALSOURCESIDEID,Original Source Side ID
PCELL,Photocell Present
ANGLE,Angle
UGASTATUS,UGA Status
LABELIDC,Label Indicator
ANCILLARYROLE,Ancillary Role
STREETNM,Street Name
CEDSADEVICEID,CEDSA Device ID
CONVERSIONWORKPACKAGE,Conversion Work Package
VC_NUM,Vegetation Clearance Number
POLETOPEXTIDC,Pole Top Extension Indicator
CUSTOMERNAME,Customer Name
INVENTORIEDBY,Inventoried By
ORIGINALXCOORD,Original X Coordinate
OVERRIDE,Override
LASTUSER,Last User
SPECIALCONDITIONS,Special Conditions
STATUS,Status
STATEREGAREA,State Regulation Area
GPSLONGITUDE,Longitude
CLOSEUPDATE,Closeup Date
CLIMATEZONE,Climate Zone
PHOTOCELLTYPE,Photocell Type
HISTGEMSAKA,Hist GEMS AKA
POTENTIAL,Potential Direction
POLETYPE,Pole Type
STREETNUMBER,Street Number
NORMALPOSITION_B,Normal Position B
LIVEFRONTIDC,Live Front Indicator
STREETLIGHTSGISSAID,Streetlight GIS SAID
COVERTYPE,Cover Type
TRACEABLE,Fdr Mgr Non Traceable
BARCODE,Bar Code
LATITUDE,Latitude
UGUID,Global ID
SUBTYPE,Subtype
